Date,Users,Tasks
2021-06-22,12,88
2021-06-29,12,90
2021-07-13,19,129
2021-07-20,25,191
2021-07-27,26,327
2021-08-03,29,357
2021-08-10,33,427
2021-08-17,35,555
2021-08-24,38,971
2021-09-07,43,1432
2021-09-22,58,1611
2021-09-28,61,1774
2021-10-05,62,1870
2021-11-30,79,2087
2021-12-07,81,2177
2021-12-14,84,2357
2021-12-22,89,2468
2021-12-29,93,2568
2022-01-05,96,2681
2022-01-12,100,2794
2022-01-19,105,3149
2022-01-26,105,3312
2022-02-09,106,3639
2022-02-16,106,3951
2022-02-23,135,4233
2022-03-02,139,4511
2022-03-09,142,4712
2022-03-16,143,4848
2022-03-23,143,4951
2022-03-30,143,5178
2022-04-06,143,5404
2022-04-13,143,5567
2022-04-27,144,6290
2022-05-04,145,6536
2022-05-11,146,6876
2022-05-18,147,7031
2022-05-25,148,7104
2022-06-01,150,7326
2022-06-08,152,7542
2022-06-15,153,7644
2022-06-22,153,7785
2022-07-13,157,8426
2022-07-20,159,8568
2022-07-27,163,8765
2022-08-03,164,8827
2022-08-10,165,8881
2022-08-17,165,9010
2022-08-24,166,9053
2022-08-31,170,9091
2022-09-07,170,9177
2022-09-14,175,9262
2022-09-21,192,9385
2022-09-28,195,9552
2022-10-05,200,9700
2022-10-12,201,9922
2022-10-19,208,10090
2022-10-26,209,10195
2022-11-02,210,10280
2022-11-09,211,10406
2022-11-16,211,10643
2022-11-23,212,10685
2022-11-30,214,10754
2022-12-07,215,10855
2022-12-14,215,10993
2022-12-21,216,11107
2022-12-28,216,11204
2023-01-04,216,11305
2023-01-11,216,11559
2023-01-25,216,12901
2023-02-01,218,13004
2023-02-08,218,13282
2023-02-16,219,13686
2023-02-22,221,13974
2023-03-01,232,14174
2023-03-08,241,14416
2023-03-15,251,14803
2023-03-22,254,15052
2023-03-29,257,15305
2023-04-05,260,15460
2023-04-12,261,15632
2023-04-26,264,16028
2023-05-03,266,16648
2023-05-10,272,17033
2023-05-17,274,17572
2023-05-24,286,17923
2023-06-07,290,18232
2023-06-14,294,18474
2023-06-21,295,18835
2023-07-19,296,19086
2023-08-02,307,19441
2023-08-09,310,19617
2023-08-16,311,19945
2023-08-23,312,20154
2023-08-30,313,20243
2023-09-06,318,20412
2023-10-04,332,20994
2023-10-25,370,21742
2023-11-01,372,21955
2023-11-15,377,22573
2023-11-22,380,22931
2023-11-29,382,23252
2023-12-13,385,23631
2023-12-20,386,23806
2023-12-27,388,23921
2024-01-02,389,23991
2024-01-10,390,24136
2024-01-24,394,24212
2024-02-02,397,24303
2024-02-21,399,24897
2024-02-28,402,25385
2024-03-13,404,25728
2024-04-03,424,26014
2024-04-24,455,26630
2024-05-08,455,26706
2024-05-22,459,26992
2024-06-12,460,27227
2024-07-03,462,27497
2024-07-24,465,27844
2024-08-07,468,28026
2024-09-22,487,28208
2024-12-30,499,29071
2025-02-04,502,29074
2025-02-21,505,29080
2025-03-01,540,29230
2025-04-01,592,29630
2025-05-01,597,29838
2025-09-01,606,29853
